theme,words
/pd/,a top-down approach
/pd/,Please stop doing that.
/pd/,stepdaughter
/pd/,top-down
/pd/,Stop driving so fast.
/pd/,Can you help dad?
/pd/,The emperature will drop down tonight.
/pd/,You can sleep deeply tonight.
/dp/,That is a good point.
/dp/,Please use a red pen.
/dp/,I don't like cold pizza.
/dp/,He is not a bad person.
/dp/,I told Peter about it.
/dp/,She showed me an old picture.
/pg/,She got a top grade.
/pg/,Please stop going there alone.
/pg/,The trees are deep green.
/pg/,I often help girls with their homework after school.
/pg/,campground
/gp/,They went to the big park.
/gp/,The dog played in the garden.
/gp/,It's nice to hug people.
/gp/,We had a big party yesterday.
/gp/,That is a big problem.
/gp/,He plays the bagpipe very well.
/tb/,football
/tb/,Please get back to your seat.
/tb/,I will meet Bob atthe station.
/tb/,I didn't eat beakfast this morning.
/tb/,Do you know taht boy?
/tb/,Read that book.
/tb/,I'd like to take a hot bath.
/tb/,The score was not bad.
/bt/,Bob takes a good picture.
/bt/,subtitle
/bt/,subtotal
/bt/,He plays for a club team.
/bt/,Bob told me the story.
/bk/,Let's grab cookies and coffee.
/bk/,Bob came to my house.
/bk/,David is a club captain.
/bk/,I bought a new web camera.
/bk/,Bob can speak English well.
/kb/,Look at the black bird.
/kb/,We saw a black bear.
/kb/,She has dark brown eyes.
/kb/,Don't look back.
/kb/,I will cook breakfast.
/kb/,I often read the cookbook.
/kb/,Look at the blackboard.
/kd/,She has a black dog.
/kd/,Lock the back door.
/kd/,I will make dinner tonight.
/kd/,I will ask Dad.
/kd/,They like dancing.
/dk/,I caught a bad cold.
/dk/,She has a red car.
/dk/,He is a good kid.
/dk/,It's a hard question.
/dk/,My brother likes to read comics.
/dk/,We had cake and coffee.
/gt/,Look at that big tree.
/gt/,Put it on the big table.
/tg/,Did you watch that game?
/s/+/j/,this year
/s/+/j/,miss you
/z/+/j/,I was young.
/z/+/j/,She loves you.
/t/+/j/,get you
/t/+/j/,that year
/t/+/j/,last year
/t/+/j/,Nice to meet you.
/d/+/j/,I need your help.
/d/+/j/,She loved you.
/pm/,Help me.
/tn/,button
/tn/,cotton
/tn/,mountain
/tn/,captain
/tn/,curtain
/tn/,fountain
/tn/,certainly
/tn/,eaten
/tn/,written
/tn/,forgotten
/tn/,last night
/tn/,I woke up at nine o'clock.
/tn/,She visited me at night.
/tn/,Her voice was sweet and clear.
/dn/,garden
/dn/,golden
/dn/,Sidney
/dn/,hidden
/dn/,didn't
/dn/,It was a bad news.
/dn/,It is a good news.
/dn/,I was sad to hear the sad news.
/pl/,people
/pl/,apple
/bl/,able
/bl/,cable
/bl/,table
/bl/,She is able to speak three languages.
/tl/,battle
/tl/,little
/tl/,title
/tl/,kettle
/tl/,bottle
/dl/,middle
/dl/,candle
/dl/,handle
/dl/,I would like some tea.
/kl/,medical
/kl/,local
/kl/,vocal
/kl/,musical
/kl/,tropical
/kl/,classical
/kl/,technical
/gl/,angle
/gl/,eagle
/gl/,single
/gl/,jungle
/gl/,Jingle bells.
/gl/,Google
/fl/,useful
/fl/,careful
/fl/,powerful
/fl/,colorful
/fl/,wonderful
/fl/,beautiful
/fl/,waffle
/fl/,shuffle
/fl/,rifle
/sl/,castle
/sl/,hustle
/sl/,wrestle
/zl/,puzzle
/nl/,tunnel
/nl/,chunnel
/db/,a good boy
/dm/,Good morning.
,
,
/nt/,twenty
/nt/,internet
/nt/,international
/nt/,interview
/nt/,center
/nt/,twenty
/nt/,winter
/nt/,rental
/nt/,I want some tea.
/tr/,trip
/tr/,tree
/tr/,trick
/tr/,try
/tr/,train
/tr/,trial
/tr/,traffic
/tr/,traditional
/tr/,travel
/tr/,street
/tr/,strike
/dr/,dream
/dr/,drama
/dr/,drink
/dr/,draw
/dr/,dress
/dr/,drill
/dr/,drive
/dr/,drop
/dr/,dry
/dr/,hundred
/tm/,bottom
